_type,_id,_revision,_page.next,gr_gyv_id,gyv_pav,gyventoju_sk,taskas_wgs
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,06744b79-0025-433e-aa46-5598584c5208,66e56edb-417e-475d-9fdf-5283aeaf2d83,,10092,Šilėnų k.,8,POINT (54.30616864 23.51703383)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,ece72bd0-65bc-43f9-b14a-63a0459df7dd,3abd70fe-bb9e-4516-9c34-9b6c13601d01,,10094,Tautrimų k.,57,POINT (54.36198565 23.49606534)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,1f3d15c8-9176-428f-83e6-cfb4c0b770fd,abcfaeba-e0b5-405c-a565-1bf7771cab06,,10096,Asteikių k.,15,POINT (56.29928977 22.02209665)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,a3bb4ffe-9915-4044-9f95-fc42b2f91a9a,1fb4e0d4-f6e1-4a50-ac41-9edd08902fe7,,10098,Bučiškės k.,3,POINT (56.37711832 22.14518608)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,17c3c9c5-a333-4aa7-a88a-8a7d16ed309c,ee522843-6379-44db-8378-ebc06f2f716e,,101,Pabradės m.,4918,POINT (54.98046056 25.76549803)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,517e3b09-c405-4ad5-8b5a-d2ad46c7b6b5,bca787fa-ad8f-41cc-a166-78cfd728769e,,1010,Varkujų k.,63,POINT (55.59712705 25.40153763)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,ecbb684f-33c1-4418-82ff-27563f4f6b57,921f2348-6063-4db2-b10b-9ce3b3e0d867,,10100,Bukančių k.,11,POINT (56.33199258 22.08955369)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,32691b27-9ea9-4046-b830-accaf0fbc7e1,351a75ef-3d33-4c05-a13b-15a962261988,,10101,Dapšių k.,25,POINT (56.35348842 22.14535118)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,016183b6-cbf2-4e82-88da-ca28d30c9e64,b25defcf-5626-4f94-8d05-e1b6f133342c,,10102,Dautarų k.,29,POINT (56.38411345 22.00149046)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,5735d989-6530-4e03-92d8-14d77d2c986b,634cea58-6839-485a-838c-4e339842eb03,,10103,Giniočių k.,3,POINT (56.42132282 22.13981163)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,093f02e9-63eb-4b0d-bbe9-d837d5c7366d,2cb03a0e-654d-4e0a-b222-3c6acada390a,,10104,Griežės k.,5,POINT (56.40406651 22.19610393)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,14de9e4f-f67b-49d5-b3a9-584bd0bbf810,e7fe19b2-b03e-4082-a0f3-1b4bdac5388f,,10105,Juodeikių k.,7,POINT (56.38368104 22.17356591)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,f4b53a44-0b77-487e-8d9c-f1e2515d8305,3b47fa16-df83-4323-8f10-c3d9a4582037,,10106,Juodeikėlių k.,23,POINT (56.38921191 22.11111257)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,96188634-bb9f-4f52-9679-3207861a8408,cbc4c37b-3835-4777-91fa-a9ef4f92a6db,,10107,Kentaučių k.,2,POINT (56.36773367 22.04852185)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,82149130-6f4d-46fa-95e9-16a8dbe1dc21,b0eb3884-9fca-484c-bb01-72fc9149ab89,,10108,Kražiškių k.,7,POINT (56.27963825 22.06936179)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,91acc9d3-7fa4-45df-b78f-bec8c2ccf4f3,85b80bb4-bf0e-4818-9a4d-00ab283a157e,,10109,Kugių k.,32,POINT (56.35908634 22.09576723)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,da383817-5bbd-4b45-a406-518f59a8dae0,c2fb86df-b806-481c-8c26-b7813825037e,,1011,Zigmantavos k.,1,POINT (55.60269271 25.25612508)
